HM_1,HM_2,HM_3,HM_4,HM_5,HM_6,HM_7,HM_8,HM_9,HM_10,HM_11,HM_12,HM_13,HM_14,HM_15,HM_16,HM_17
1.4610864105435,1.32244264824506,1.1078133917323,1.19080237444219,1.65226600182669,1.49607807823993,1.40395945134611,1.67862241937631,1.08923267270012,1.27250709263459,1.30453751303908,1.70357683479426,1.77671912415892,1.16994423655896,1.18091760378421,1.1278180592546,1.39777524284617
1.46370150423737,1.3385377451618,1.10766924879603,1.18941941065663,1.64327882958217,1.48931778161321,1.40138144708171,1.67492901893083,1.09039268951378,2.44903653068106,1.29707913809655,1.70541393986064,1.78527097609438,1.16885902966301,1.1830233547474,1.14045393741072,1.39301501453727
1.46197722328342,1.33102498649355,1.10680578268986,1.19471170093505,1.64746690877388,1.49173842155471,1.40360164610212,1.6790192802023,1.09149512448975,2.09470850207608,1.3020439739874,1.70825147921173,1.77749746670625,1.16966055207473,1.1848279332848,1.14156608674119,1.39841285777729
1.45020046139515,1.33029716942403,1.11407954853455,1.18546895603353,1.64023395668207,1.50457244488113,1.40684667031019,1.65894428917022,1.09489564690961,2.16528806296375,1.29649303491312,1.70902189225866,1.78731156582458,1.1821924973486,1.17968930557931,1.14195673029697,1.40473603978345
1.45882044266478,1.34383633517111,1.10848294486832,1.18996900837259,1.6379317614774,1.48930090567813,1.41694434209367,1.67705885007475,1.08266364704071,2.03469510687009,1.30289309108748,1.70090006809098,1.78170942086202,1.1856311656359,1.17330691678807,1.14515125054551,1.40281323022673
1.46016489405452,1.33761209406994,1.11040171361049,1.19148267639729,1.64615010096716,1.4800646488591,1.41178431753516,1.6632246214908,1.09741737976392,2.66048765564778,1.2910366097654,1.70204351956077,1.79107102331362,1.16642814108786,1.1688208292875,1.14111273914201,1.39221453295735
1.46078040012475,1.33972669750384,1.11477360107652,1.18884364558582,1.65930344237917,1.49452063970957,1.40774357052941,1.66911055671332,1.09295955914863,1.97320613839429,1.2942513548607,1.70282988752491,1.77802209237849,1.17578947030812,1.18179442192244,1.1459788594895,1.39847243452206
1.45987481011948,1.34087445494917,1.10766195599409,1.18735678813795,1.64075223152242,1.4849928142715,1.4009223920049,1.67935181908865,1.0879969488459,2.44437840193421,1.30516142942237,1.70943191891083,1.7796438542034,1.16908250734994,1.1830881448752,1.1354815149434,1.39769739449016
1.46228447236621,1.3312917655245,1.10780116137622,1.19488090698625,1.65057423578058,1.49617852394927,1.40304756047966,1.66985920809525,1.08645051439464,1.92362717469521,1.29091422761374,1.70321045865612,1.7842739365785,1.17518808691652,1.18332711670548,1.14434202160515,1.39189248892062
1.46504478195307,1.33631827702935,1.11203093704088,1.19237053639234,1.64921796238229,1.49187534141519,1.40429050303153,1.67427697256924,1.08577249713261,1.98427755300383,1.29694572819711,1.7048200353768,1.77882437649586,1.16932537766419,1.18022235307866,1.1354836886812,1.39399665868224
