HT_1,HT_2,HT_3,HT_4,HT_5,HT_6,HT_7,HT_8,HT_9,HT_10,HT_11
1.8049689657392,1.35784060663973,0.981126308167509,1.22018177949848,1.05083691305474,1.35214107117891,1.04175092536743,1.45944885997394,1.44020983794165,1.82175706654072,1.20688092295271
1.66695277118722,1.35430046396209,0.98886489027537,1.21897457227576,1.0504472812326,1.35129982610759,1.04118065072551,1.45553681074733,1.42887578329427,1.82441284496393,1.20946183795387
1.88721689619833,1.35512296128824,0.981589338331931,1.2193048853838,1.05012050564484,1.35066220457596,1.04682454138371,1.45809699680314,1.43038381417479,1.82167289395751,1.20502194122644
1.6683457249246,1.35287950539027,0.9876311020932,1.21687733747058,1.04954316265128,1.35937160730544,1.04878745571159,1.45185173372143,1.43175782074185,1.82194321848222,1.20109131723018
1.74089561831529,1.35188425385526,0.985010583452618,1.22100189744001,1.05488359322034,1.35731953983998,1.04390958434207,1.45008767145472,1.4263443711824,1.82186419710055,1.20340062589855
1.69560266785307,1.3544774866042,0.982322614484233,1.22515781558991,1.05369714323216,1.3505943764695,1.04361544731335,1.45498097345401,1.42712437600634,1.82082816418575,1.20260758623815
1.86673493298988,1.35565774276374,0.983251493302549,1.2288658118492,1.04784824597027,1.34798818173494,1.04093210951871,1.45785488556992,1.42371508209949,1.81726311139597,1.20468916691624
1.73855528624868,1.35233847717167,0.983537916389313,1.2216505751363,1.05234050079071,1.35277273347936,1.04604645030926,1.45377704362447,1.42965857839487,1.82100237156223,1.20479891339538
2.21952992866366,1.36828174408694,0.962387022431658,1.22254375596426,1.04253752629347,1.3443967191672,1.04204162771845,1.45938023767042,1.42067188095668,1.82599994041614,1.21557660502541
1.89449517360194,1.3566211042585,0.981378599003294,1.21781230151816,1.05251840035759,1.3497378314365,1.04633871385945,1.45225365961044,1.42969774029221,1.82159555897516,1.20358974501774
2.05941479995868,1.35333577635626,0.981291039454065,1.22246982785531,1.05139778119161,1.35696757699936,1.04109549298313,1.45127599995142,1.42460856615762,1.82431485097888,1.19905413690624
1.84720299458724,1.35231593910642,0.984755540597266,1.21748881545769,1.05184707595242,1.35292625785014,1.04494247627585,1.45505326647886,1.42797777694449,1.81710403715908,1.20601332145421
1.40688918338944,1.35110370615135,0.988089055225333,1.22150771713511,1.05061146305093,1.35727152915618,1.04691089696313,1.44828924816401,1.42704594275183,1.81940163206089,1.20298088484076
1.85923671488823,1.35654019841308,0.985853052472238,1.21327898578294,1.05348649145522,1.34581343540861,1.04282749981676,1.45079816991541,1.42020468892664,1.81969864718788,1.20598674517834
1.77772738215034,1.3493679627476,0.979604666337062,1.21929688178261,1.05591520104346,1.35513625144786,1.04273921925881,1.44402433934542,1.43548024411828,1.82257934299663,1.20240118417398
1.75701692240586,1.35345814638431,0.98411031120686,1.22097983157258,1.05168481740937,1.35312089713517,1.04508619333001,1.45340433860827,1.43112441601152,1.82214875612245,1.20517068346356
1.90895602650246,1.35629239688965,0.978312783293217,1.21836757918244,1.04773831444515,1.35193063346723,1.04625257995096,1.45361893378335,1.42936410143694,1.82163311998811,1.20650900181224
1.77790985713723,1.35531943163721,0.983228967607971,1.22027037495794,1.05156061621651,1.35293715881411,1.04623492783796,1.45286478222167,1.42918048688077,1.82099701124918,1.2061570415126
1.00356801016532,1.34150209346139,0.995175452282587,1.22726436204093,1.06087282424045,1.35999410466982,1.04039530313359,1.45029284381431,1.43634572355383,1.82554988504703,1.2076327007671
1.80369964454119,1.35894506834029,0.987905072967222,1.21945203227083,1.05269659588874,1.35045384134707,1.04233832257943,1.45331002593409,1.42519226328108,1.82467423338441,1.20473006650868
