B_Cell_1,T_B_Cells,T_Cell_1,Macrophage_1,T_Cell_2,Macrophage_2,Endothelial,Vimentin-hi,Small_Circular,Small_Elongated,Fibronectin-hi,Large_Elongated,SMA_hi_Vimentin,Hypoxic,Apoptotic,Proliferative,p53+_EGFR+,Basal_CK,CK7+_CKhi_Cadherin,CK7+_CK+,Epithelial-low,CK-low_HR-low,CK+_HR-hi,CK+_HR+,CK_HRlow_p53+,Cklow_HR-hi,Myoepithelial
2.316237236,3.015207241,4.096194288,3.658659917,0,0,3.553026336,4.097992611,3.075905081,4.161335276,3.293960842,0,0,1.714177245,3.094388487,3.376935077,2.75556993,2.015207241,0,2.96944975,2.96944975,3.293960842,1.714177245,4.006433316,3.658659917,0,2.1912985
0,1.392676894,2.75440473,3.255999754,1.994736885,0,2.75440473,3.940451599,2.506620246,3.279167619,3.405514118,0,2.091646898,1.693706889,2.855074892,2.346919403,2.237774934,3.163528905,0,1.994736885,2.091646898,2.960878618,3.116952763,4.709904243,2.807650242,2.506620246,1.392676894
2.69152763,1.964528902,4.279098297,3.890528169,1.788437643,0,2.766161249,3.794903686,2.186377652,3.469678881,4.063748998,0,2.390497635,1.487407648,2.528800333,1.788437643,4.421400812,0,1.964528902,0,1.788437643,2.089467639,0,2.089467639,0,0,1.487407648
0,1.640597131,2.242657122,2.681989816,0,0,0,3.466671934,3.503919991,4.301462609,3.681989816,0,0,3.847423007,1.941627127,2.117718386,0,0,2.242657122,3.145747109,3.172076048,0,1.640597131,2.339567135,3.886109799,0,0
0,1.74946534,2.678884265,2.59456338,0,0,2.050495335,3.071684634,2.624526603,3.766498679,1.74946534,0,1.448435344,3.050495335,1.74946534,3.552239065,0,0,0,3.274510147,3.071684634,3.188798033,2.652555327,2.52761659,4.927578592,0,0
0,0,2.924519191,3.06282189,0,0,2.197520464,3.929914223,2.95084813,3.698122814,3.021429204,0,0,2.419369213,2.623489196,2.419369213,0,1.720399209,2.021429204,3.182797207,2.498550459,3.410595289,3.401640446,4.388785125,3.197520464,2.197520464,1.720399209
0,0,3.240668628,3.455677953,2.434488654,0,3.047272511,3.38387866,2.036548645,3.285747003,2.756707949,0,2.036548645,3.731153844,3.097246486,2.978556698,3.067957109,4.717563629,1.735518649,0,1.434488654,2.610579913,0,1.911609909,2.212639904,0,2.212639904
1.49946577,2.101525762,3.552544214,3.571347778,1.800495766,0,3.112249627,4.173407769,2.821685065,4.07000871,3.18966185,0,2.402555757,2.645593806,2.861193606,3.030944687,1.49946577,0,1.49946577,2.34456381,1.976587025,3.284795605,3.043533815,4.492902001,2.34456381,1.49946577,1.49946577
0,2.41882812,3.145826848,2.543766857,0,0,2.543766857,2.543766857,3.754620222,4.37627577,0,0,0,1.941706866,1.941706866,2.543766857,0,0,0,0,4.081585952,2.242736861,0,0,4.249202904,0,0
0,1.863081879,3.14183548,2.641233129,0,0,2.988020616,2.728383305,3.671517933,4.495201593,2.590080607,0,0,1.988020616,1.863081879,2.942263125,0,3.842326657,1.863081879,4.501903801,3.782159971,2.616409546,2.289050611,2.848358622,3.47938231,0,2.084930629
0,2.433897344,2.547840696,2.212048595,0,0,2.712650945,2.336987331,3.347711197,4.068374614,2.712650945,0,2.132867348,1.433897344,0,0,1.433897344,0,2.035957335,3.013680941,3.55116864,2.712650945,2.212048595,2.035957335,4.902687606,0,0
3.348026778,3.740434298,4.697390386,3.894444483,1.450399687,0,3.657225563,4.071575969,2.772618982,3.782838147,1.751429683,0,0,0,0,0,0,3.030183284,0,0,0,0,0,1.450399687,0,0,2.772618982
2.475469196,0,3.625457653,3.429711706,0,0,3.063740903,3.4700063,3.357709044,4.204836501,3.343231221,1.572379209,2.271349213,2.350530459,2.1744392,3.364770899,0,2.80282813,2.894598504,3.65873904,3.350530459,3.90683296,2.572379209,2.475469196,4.36054758,0,0
0,0,3.108394408,2.455181895,0,0,1.853121903,3.777401189,3.476371194,3.745216506,3.029213162,0,0,0,2.999249939,0,0,3.525219761,0,0,0,0,3.397189948,0,2.932303149,1.853121903,0
2.265081815,0,3.47459683,3.097590728,0,0,2.844865412,4.218358152,2.770231794,3.680055163,2.344263061,0,2.043233066,0,1.566111811,1.867141807,0,0,1.566111811,2.411209851,2.344263061,2.888331106,3.762011463,4.491423902,3.404960902,1.867141807,0
